"Dimension 1","Dimension 2"
"A3",2.4344832874202926
"A29",22.62865010388445
"A8",6.280836896449813
"A6",4.103955941098578
"A15",11.557705479109522
"A26",20.746290572378523
"A7",5.189474056215775
"A4",3.2760436954331817
"A7",4.947996759598367
"A30",23.684709786040752
"A5",3.2395418844082298
"A6",4.56883294423057
"A8",5.649392717521077
"A22",17.19912513052024
"A6",4.3548221151879645
"A21",16.31837342057353
"A24",19.25612053598584
"A24",18.846077517101776
"A6",4.334609578038626
"A11",8.631941602397195
"A24",18.9351095305185
"A6",4.899466727237203
"A15",12.168116110190821
"A29",22.652804445959777
"A6",4.480318956835764
"A22",16.85092486279607
"A15",12.10874487194301
"A13",9.783446134494294
"A13",9.818515755242288
"A4",2.423577822979163
"A12",9.297645876624273
"A8",6.545730951390416
"A5",3.3171271691692032
"A21",16.784733083201466
"A14",11.22631959560211
"A20",16.064175659102567
"A3",2.166270677812028
"A25",19.360609966299506
"A26",20.445965214292595
"A30",24.187645926513277
"A31",24.919981603595623
"A27",20.839357525627843
"A18",13.71866061462849
"A31",24.745676538291185
"A10",8.012703464102882
"A18",14.388552651153365
"A7",4.935924384072914
"A16",12.022083557808468
"A7",5.1559832787899875
"A29",22.552534263400936
"A11",8.512784404617873
"A23",18.28355518693851
"A17",13.058123942288754
"A24",18.516474762653658
"A24",18.586923335638296
"A27",21.561012958134278
"A14",10.577590548934486
"A23",17.81998640169554
"A17",13.582953929338576
"A17",12.838212023899853
"A3",2.214163573102418
"A29",22.621992263904417
"A9",6.834113221487498
"A12",9.435868203415051
"A25",19.767491242799984
"A3",1.6943371838250085
"A7",4.853315289341781
"A15",11.231384272558026
"A3",2.3414428197688535
"A4",2.811690722208148
"A29",22.586015643295177
"A1",0.9065245256622652
"A17",13.109164204259509
"A17",13.473934665572134
"A15",11.306599731261798
"A10",7.565946672443783
"A25",19.202308177156866
"A5",3.9564112648152308
"A13",10.492588283629516
"A29",23.210287318850607
"A21",16.63174340641652
"A26",20.119533174434142
"A27",21.365363373941246
"A29",22.592238734712982
"A14",10.896238436716406
"A11",8.014144682415953
"A4",3.1427184727919077
"A7",5.7198403943371785
"A2",1.6801989242595463
"A29",22.753003907198458
"A23",17.916245670855403
"A15",11.938437813328393
"A20",16.16908158978744
"A3",2.3252628089718694
"A31",24.526944434752085
"A27",21.68942129539948
"A11",8.519841203433169
"A4",3.196358234327348
"A11",8.660872027960288
"A4",3.1985564874624917
"A11",8.045250353580196
"A23",18.350738923944768
"A21",16.125722435392795
"A13",10.204012571153807
"A16",12.071956490170036
"A7",5.520404369118079
"A17",13.175023881426359
"A15",11.953576808327764
"A25",19.360193119709685
"A25",20.124293316899333
"A32",25.22387731353156
"A22",17.425500337290607
"A12",9.381464957599796
"A4",3.25090180779719
"A31",24.234721406966216
"A29",22.466444466777375
